,Year,StateCode,MSN,ratio,Description
51,1990,AZ,HYEGB,26.14428225356365,Hydroelectricity produced by the electric power sector.
52,1990,CA,WYEGB,4.585202721629396,Electricity produced from wind energy by the electric power sector.
53,1990,CA,NUEGB,55.27499242241277,Electricity produced from nuclear power by the electric power sector.
54,1990,CA,SOEGB,0.6093945746173092,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
55,1990,CA,HYEGB,39.53041028134051,Hydroelectricity produced by the electric power sector.
56,1990,NM,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
57,1990,NM,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
58,1990,NM,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
59,1990,NM,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
60,1990,TX,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
61,1990,TX,NUEGB,89.993084661016,Electricity produced from nuclear power by the electric power sector.
62,1990,TX,SOEGB,0.0021475144539377373,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
63,1990,TX,HYEGB,10.004767824530065,Hydroelectricity produced by the electric power sector.
64,2000,AZ,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
65,2000,AZ,NUEGB,78.80383849183706,Electricity produced from nuclear power by the electric power sector.
66,2000,AZ,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
67,2000,AZ,HYEGB,21.196161508162938,Hydroelectricity produced by the electric power sector.
68,2000,CA,WYEGB,4.493072881588422,Electricity produced from wind energy by the electric power sector.
69,2000,CA,NUEGB,45.92879485935479,Electricity produced from nuclear power by the electric power sector.
70,2000,CA,SOEGB,0.6300656975207444,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
71,2000,CA,HYEGB,48.94806656153604,Hydroelectricity produced by the electric power sector.
72,2000,NM,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
73,2000,NM,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
74,2000,NM,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
75,2000,NM,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
76,2000,TX,WYEGB,1.2391519061348883,Electricity produced from wind energy by the electric power sector.
77,2000,TX,NUEGB,96.67353683767472,Electricity produced from nuclear power by the electric power sector.
78,2000,TX,SOEGB,0.00010323177804448179,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
79,2000,TX,HYEGB,2.087208024412354,Hydroelectricity produced by the electric power sector.
80,2009,AZ,WYEGB,0.07511696425113762,Electricity produced from wind energy by the electric power sector.
81,2009,AZ,NUEGB,83.54765595657945,Electricity produced from nuclear power by the electric power sector.
82,2009,AZ,SOEGB,0.03596308882492272,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
83,2009,AZ,HYEGB,16.341263990344494,Hydroelectricity produced by the electric power sector.
84,2009,CA,WYEGB,8.53563530232798,Electricity produced from wind energy by the electric power sector.
85,2009,CA,NUEGB,49.756665383736006,Electricity produced from nuclear power by the electric power sector.
86,2009,CA,SOEGB,0.9462427923080796,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
87,2009,CA,HYEGB,40.761456521627935,Hydroelectricity produced by the electric power sector.
88,2009,NM,WYEGB,85.09292884725099,Electricity produced from wind energy by the electric power sector.
89,2009,NM,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
90,2009,NM,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
91,2009,NM,HYEGB,14.907071152749024,Hydroelectricity produced by the electric power sector.
92,2009,TX,WYEGB,30.560839890948614,Electricity produced from wind energy by the electric power sector.
93,2009,TX,NUEGB,67.86937735845827,Electricity produced from nuclear power by the electric power sector.
94,2009,TX,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
95,2009,TX,HYEGB,1.5697827505931232,Hydroelectricity produced by the electric power sector.
