,Year,StateCode,MSN,Data,Unit
4803,1993,CA,BMTCB,193993.5989,Billion Btu
4804,1994,CA,BMTCB,195853.6851,Billion Btu
4805,1995,CA,BMTCB,181976.7564,Billion Btu
4806,1996,CA,BMTCB,175102.1526,Billion Btu
4807,1997,CA,BMTCB,158857.6686,Billion Btu
4808,1998,CA,BMTCB,146911.9789,Billion Btu
4809,1999,CA,BMTCB,156548.0245,Billion Btu
4810,2000,CA,BMTCB,164988.6785,Billion Btu
4811,2001,CA,BMTCB,164122.0837,Billion Btu
4812,2002,CA,BMTCB,171473.8135,Billion Btu
4813,2003,CA,BMTCB,205818.2943,Billion Btu
4814,2004,CA,BMTCB,228435.8629,Billion Btu
4815,2005,CA,BMTCB,225495.2407,Billion Btu
4816,2006,CA,BMTCB,219733.391,Billion Btu
4817,2007,CA,BMTCB,225390.7083,Billion Btu
4818,2008,CA,BMTCB,228308.9487,Billion Btu
4819,2009,CA,BMTCB,224662.5224,Billion Btu
4820,1960,NM,BMTCB,6627.60303,Billion Btu
4821,1961,NM,BMTCB,6383.18415,Billion Btu
4822,1962,NM,BMTCB,6119.23528,Billion Btu
4823,1963,NM,BMTCB,6012.20356,Billion Btu
4824,1964,NM,BMTCB,6200.87713,Billion Btu
4825,1965,NM,BMTCB,5626.92142,Billion Btu
4826,1966,NM,BMTCB,5503.67683,Billion Btu
4827,1967,NM,BMTCB,5311.94572,Billion Btu
4828,1968,NM,BMTCB,5259.08546,Billion Btu
4829,1969,NM,BMTCB,5014.25154,Billion Btu
4830,1970,NM,BMTCB,4857.5794,Billion Btu
4831,1971,NM,BMTCB,4679.22274,Billion Btu
4832,1972,NM,BMTCB,4535.82072,Billion Btu
4833,1973,NM,BMTCB,4221.0506,Billion Btu
4834,1974,NM,BMTCB,4152.82025,Billion Btu
4835,1975,NM,BMTCB,5342.7819,Billion Btu
4836,1976,NM,BMTCB,5990.5815,Billion Btu
4837,1977,NM,BMTCB,7036.09195,Billion Btu
4838,1978,NM,BMTCB,7677.32186,Billion Btu
4839,1979,NM,BMTCB,9219.61811,Billion Btu
4840,1980,NM,BMTCB,5245.14218,Billion Btu
4841,1981,NM,BMTCB,6811.63257,Billion Btu
4842,1982,NM,BMTCB,7213.8757,Billion Btu
4843,1983,NM,BMTCB,8267.24898,Billion Btu
4844,1984,NM,BMTCB,8947.27462,Billion Btu
4845,1985,NM,BMTCB,9184.80922,Billion Btu
4846,1986,NM,BMTCB,9389.1191,Billion Btu
4847,1987,NM,BMTCB,6882.35499,Billion Btu
4848,1988,NM,BMTCB,7557.91736,Billion Btu
4849,1989,NM,BMTCB,6827.08737,Billion Btu
4850,1990,NM,BMTCB,5892.26845,Billion Btu
4851,1991,NM,BMTCB,6168.24334,Billion Btu
4852,1992,NM,BMTCB,5962.41767,Billion Btu
4853,1993,NM,BMTCB,5097.85589,Billion Btu
4854,1994,NM,BMTCB,5225.57276,Billion Btu
4855,1995,NM,BMTCB,6322.92408,Billion Btu
4856,1996,NM,BMTCB,5672.70185,Billion Btu
4857,1997,NM,BMTCB,6402.55587,Billion Btu
4858,1998,NM,BMTCB,6930.08464,Billion Btu
4859,1999,NM,BMTCB,6699.40501,Billion Btu
4860,2000,NM,BMTCB,7323.19479,Billion Btu
4861,2001,NM,BMTCB,4336.58586,Billion Btu
4862,2002,NM,BMTCB,4400.64321,Billion Btu
4863,2003,NM,BMTCB,4302.16571,Billion Btu
4864,2004,NM,BMTCB,4295.81309,Billion Btu
4865,2005,NM,BMTCB,13020.14274,Billion Btu
4866,2006,NM,BMTCB,12990.47148,Billion Btu
4867,2007,NM,BMTCB,14471.1765,Billion Btu
4868,2008,NM,BMTCB,16129.4421,Billion Btu
4869,2009,NM,BMTCB,17295.22312,Billion Btu
4870,1960,TX,BMTCB,38296.32121,Billion Btu
4871,1961,TX,BMTCB,38880.11404,Billion Btu
4872,1962,TX,BMTCB,39275.11374,Billion Btu
4873,1963,TX,BMTCB,37708.94855,Billion Btu
4874,1964,TX,BMTCB,39136.42295,Billion Btu
4875,1965,TX,BMTCB,41195.86221,Billion Btu
4876,1966,TX,BMTCB,43784.76569,Billion Btu
4877,1967,TX,BMTCB,43900.74682,Billion Btu
4878,1968,TX,BMTCB,49148.74211,Billion Btu
4879,1969,TX,BMTCB,51072.6541,Billion Btu
4880,1970,TX,BMTCB,52206.96065,Billion Btu
4881,1971,TX,BMTCB,51251.00553,Billion Btu
4882,1972,TX,BMTCB,58945.01261,Billion Btu
4883,1973,TX,BMTCB,60439.09072,Billion Btu
4884,1974,TX,BMTCB,59655.88703,Billion Btu
4885,1975,TX,BMTCB,55819.63573,Billion Btu
4886,1976,TX,BMTCB,64884.2786,Billion Btu
4887,1977,TX,BMTCB,70366.48853,Billion Btu
4888,1978,TX,BMTCB,76251.79482,Billion Btu
4889,1979,TX,BMTCB,77272.92271,Billion Btu
4890,1980,TX,BMTCB,55647.5248,Billion Btu
4891,1981,TX,BMTCB,58543.66255,Billion Btu
4892,1982,TX,BMTCB,70015.30017,Billion Btu
4893,1983,TX,BMTCB,66419.05023,Billion Btu
4894,1984,TX,BMTCB,77878.91785,Billion Btu
4895,1985,TX,BMTCB,81665.57669,Billion Btu
4896,1986,TX,BMTCB,92452.77113,Billion Btu
4897,1987,TX,BMTCB,98227.14558,Billion Btu
4898,1988,TX,BMTCB,99029.29485,Billion Btu
4899,1989,TX,BMTCB,112012.0332,Billion Btu
4900,1990,TX,BMTCB,98023.52176,Billion Btu
4901,1991,TX,BMTCB,98410.56424,Billion Btu
4902,1992,TX,BMTCB,108089.1317,Billion Btu
4903,1993,TX,BMTCB,98558.09518,Billion Btu
4904,1994,TX,BMTCB,98792.66189,Billion Btu
4905,1995,TX,BMTCB,103692.7819,Billion Btu
4906,1996,TX,BMTCB,100413.1941,Billion Btu
4907,1997,TX,BMTCB,106313.4344,Billion Btu
4908,1998,TX,BMTCB,99148.67733,Billion Btu
4909,1999,TX,BMTCB,83122.1534,Billion Btu
4910,2000,TX,BMTCB,87162.14782,Billion Btu
4911,2001,TX,BMTCB,76169.21088,Billion Btu
4912,2002,TX,BMTCB,83740.05732,Billion Btu
4913,2003,TX,BMTCB,80861.02434,Billion Btu
4914,2004,TX,BMTCB,77141.7672,Billion Btu
4915,2005,TX,BMTCB,81539.61821,Billion Btu
4916,2006,TX,BMTCB,115698.4572,Billion Btu
4917,2007,TX,BMTCB,138555.795,Billion Btu
4918,2008,TX,BMTCB,173888.6988,Billion Btu
4919,2009,TX,BMTCB,148263.5744,Billion Btu
11880,1960,AZ,CLTCB,209.57935,Billion Btu
11881,1961,AZ,CLTCB,210.66932,Billion Btu
11882,1962,AZ,CLTCB,6290.98311,Billion Btu
11883,1963,AZ,CLTCB,8432.01905,Billion Btu
11884,1964,AZ,CLTCB,9102.72547,Billion Btu
11885,1965,AZ,CLTCB,7030.44355,Billion Btu
11886,1966,AZ,CLTCB,7372.74514,Billion Btu
11887,1967,AZ,CLTCB,7183.65905,Billion Btu
11888,1968,AZ,CLTCB,8137.1679,Billion Btu
11889,1969,AZ,CLTCB,8381.44702,Billion Btu
11890,1970,AZ,CLTCB,8622.9298,Billion Btu
11891,1971,AZ,CLTCB,8875.93953,Billion Btu
11892,1972,AZ,CLTCB,7522.79594,Billion Btu
11893,1973,AZ,CLTCB,9926.90018,Billion Btu
11894,1974,AZ,CLTCB,48358.9072,Billion Btu
11895,1975,AZ,CLTCB,92448.56979,Billion Btu
11896,1976,AZ,CLTCB,139959.9045,Billion Btu
11897,1977,AZ,CLTCB,179847.4746,Billion Btu
11898,1978,AZ,CLTCB,159979.5618,Billion Btu
11899,1979,AZ,CLTCB,246230.2266,Billion Btu
11900,1980,AZ,CLTCB,244994.3448,Billion Btu
11901,1981,AZ,CLTCB,319438.1119,Billion Btu
11902,1982,AZ,CLTCB,336245.059,Billion Btu
11903,1983,AZ,CLTCB,295441.9187,Billion Btu
11904,1984,AZ,CLTCB,324862.346,Billion Btu
11905,1985,AZ,CLTCB,342012.7337,Billion Btu
11906,1986,AZ,CLTCB,295888.0014,Billion Btu
11907,1987,AZ,CLTCB,282881.8233,Billion Btu
11908,1988,AZ,CLTCB,309040.895,Billion Btu
11909,1989,AZ,CLTCB,353144.049,Billion Btu
11910,1990,AZ,CLTCB,343414.509,Billion Btu
11911,1991,AZ,CLTCB,347261.3399,Billion Btu
11912,1992,AZ,CLTCB,369742.9504,Billion Btu
11913,1993,AZ,CLTCB,389838.7377,Billion Btu
11914,1994,AZ,CLTCB,402390.1462,Billion Btu
11915,1995,AZ,CLTCB,342889.3714,Billion Btu
11916,1996,AZ,CLTCB,342839.3757,Billion Btu
11917,1997,AZ,CLTCB,369871.869,Billion Btu
11918,1998,AZ,CLTCB,386769.6754,Billion Btu
11919,1999,AZ,CLTCB,403262.1076,Billion Btu
11920,2000,AZ,CLTCB,432810.0454,Billion Btu
11921,2001,AZ,CLTCB,424023.2213,Billion Btu
11922,2002,AZ,CLTCB,406478.8093,Billion Btu
11923,2003,AZ,CLTCB,406536.9641,Billion Btu
11924,2004,AZ,CLTCB,425413.1317,Billion Btu
11925,2005,AZ,CLTCB,428444.8054,Billion Btu
11926,2006,AZ,CLTCB,431984.5691,Billion Btu
11927,2007,AZ,CLTCB,438524.2236,Billion Btu
11928,2008,AZ,CLTCB,458726.7285,Billion Btu
11929,2009,AZ,CLTCB,413259.9226,Billion Btu
11930,1960,CA,CLTCB,35903.06676,Billion Btu
11931,1961,CA,CLTCB,59106.44867,Billion Btu
11932,1962,CA,CLTCB,39681.01509,Billion Btu
11933,1963,CA,CLTCB,46127.33651,Billion Btu
11934,1964,CA,CLTCB,53722.75475,Billion Btu
11935,1965,CA,CLTCB,63692.80664,Billion Btu
11936,1966,CA,CLTCB,51515.03837,Billion Btu
11937,1967,CA,CLTCB,53948.98003,Billion Btu
11938,1968,CA,CLTCB,57010.63322,Billion Btu
11939,1969,CA,CLTCB,60030.64937,Billion Btu
11940,1970,CA,CLTCB,61811.50474,Billion Btu
11941,1971,CA,CLTCB,51014.75909,Billion Btu
11942,1972,CA,CLTCB,47451.94713,Billion Btu
11943,1973,CA,CLTCB,66956.00654,Billion Btu
11944,1974,CA,CLTCB,60670.1672,Billion Btu
11945,1975,CA,CLTCB,56405.23,Billion Btu
11946,1976,CA,CLTCB,66629.89346,Billion Btu
11947,1977,CA,CLTCB,75109.05148,Billion Btu
11948,1978,CA,CLTCB,67891.9103,Billion Btu
11949,1979,CA,CLTCB,68564.94334,Billion Btu
11950,1980,CA,CLTCB,66169.6168,Billion Btu
11951,1981,CA,CLTCB,78400.54828,Billion Btu
11952,1982,CA,CLTCB,69414.68153,Billion Btu
11953,1983,CA,CLTCB,32021.77139,Billion Btu
11954,1984,CA,CLTCB,37242.74012,Billion Btu
11955,1985,CA,CLTCB,45264.37754,Billion Btu
11956,1986,CA,CLTCB,42518.7609,Billion Btu
11957,1987,CA,CLTCB,44951.38533,Billion Btu
11958,1988,CA,CLTCB,50824.28608,Billion Btu
11959,1989,CA,CLTCB,66426.63687,Billion Btu
11960,1990,CA,CLTCB,84159.70697,Billion Btu
11961,1991,CA,CLTCB,89519.12363,Billion Btu
11962,1992,CA,CLTCB,91515.05006,Billion Btu
11963,1993,CA,CLTCB,84669.28642,Billion Btu
11964,1994,CA,CLTCB,84615.77611,Billion Btu
11965,1995,CA,CLTCB,84323.12291,Billion Btu
11966,1996,CA,CLTCB,80324.43099,Billion Btu
11967,1997,CA,CLTCB,82651.06498,Billion Btu
11968,1998,CA,CLTCB,66156.57709,Billion Btu
11969,1999,CA,CLTCB,69547.22128,Billion Btu
11970,2000,CA,CLTCB,70011.69418,Billion Btu
11971,2001,CA,CLTCB,67839.48592,Billion Btu
11972,2002,CA,CLTCB,70009.96196,Billion Btu
11973,2003,CA,CLTCB,69469.16922,Billion Btu
11974,2004,CA,CLTCB,68909.34635,Billion Btu
11975,2005,CA,CLTCB,67422.33819,Billion Btu
11976,2006,CA,CLTCB,67016.54708,Billion Btu
11977,2007,CA,CLTCB,66494.60273,Billion Btu
11978,2008,CA,CLTCB,63050.16857,Billion Btu
11979,2009,CA,CLTCB,52403.09775,Billion Btu
11980,1960,NM,CLTCB,4064.49554,Billion Btu
11981,1961,NM,CLTCB,3302.62315,Billion Btu
11982,1962,NM,CLTCB,2450.69669,Billion Btu
11983,1963,NM,CLTCB,15765.31177,Billion Btu
11984,1964,NM,CLTCB,31270.83576,Billion Btu
11985,1965,NM,CLTCB,44277.1291,Billion Btu
11986,1966,NM,CLTCB,37028.96093,Billion Btu
11987,1967,NM,CLTCB,44142.63596,Billion Btu
11988,1968,NM,CLTCB,42971.21264,Billion Btu
11989,1969,NM,CLTCB,50225.64624,Billion Btu
11990,1970,NM,CLTCB,99380.42098,Billion Btu
11991,1971,NM,CLTCB,120695.1121,Billion Btu
11992,1972,NM,CLTCB,123807.06,Billion Btu
11993,1973,NM,CLTCB,134490.475,Billion Btu
11994,1974,NM,CLTCB,140947.0958,Billion Btu
11995,1975,NM,CLTCB,132535.212,Billion Btu
11996,1976,NM,CLTCB,137492.1955,Billion Btu
11997,1977,NM,CLTCB,153921.5199,Billion Btu
11998,1978,NM,CLTCB,145738.1405,Billion Btu
11999,1979,NM,CLTCB,152939.0119,Billion Btu
12000,1980,NM,CLTCB,202870.412,Billion Btu
12001,1981,NM,CLTCB,196933.4842,Billion Btu
12002,1982,NM,CLTCB,225548.7731,Billion Btu
12003,1983,NM,CLTCB,263654.0214,Billion Btu
12004,1984,NM,CLTCB,252868.0187,Billion Btu
12005,1985,NM,CLTCB,268374.4625,Billion Btu
12006,1986,NM,CLTCB,241599.9204,Billion Btu
12007,1987,NM,CLTCB,260668.4312,Billion Btu
12008,1988,NM,CLTCB,266124.4961,Billion Btu
12009,1989,NM,CLTCB,279835.0174,Billion Btu
12010,1990,NM,CLTCB,275661.3811,Billion Btu
12011,1991,NM,CLTCB,234301.4643,Billion Btu
12012,1992,NM,CLTCB,267468.5381,Billion Btu
12013,1993,NM,CLTCB,270272.875,Billion Btu
12014,1994,NM,CLTCB,278384.8206,Billion Btu
12015,1995,NM,CLTCB,275216.5085,Billion Btu
12016,1996,NM,CLTCB,279149.1602,Billion Btu
12017,1997,NM,CLTCB,288505.8768,Billion Btu
12018,1998,NM,CLTCB,290367.1307,Billion Btu
12019,1999,NM,CLTCB,298104.7662,Billion Btu
12020,2000,NM,CLTCB,305512.8733,Billion Btu
12021,2001,NM,CLTCB,297095.5084,Billion Btu
12022,2002,NM,CLTCB,284131.9322,Billion Btu
12023,2003,NM,CLTCB,305640.8118,Billion Btu
12024,2004,NM,CLTCB,309418.1458,Billion Btu
12025,2005,NM,CLTCB,317916.0977,Billion Btu
12026,2006,NM,CLTCB,316221.4589,Billion Btu
12027,2007,NM,CLTCB,296066.66,Billion Btu
12028,2008,NM,CLTCB,284345.6173,Billion Btu
12029,2009,NM,CLTCB,306161.5315,Billion Btu
12030,1960,TX,CLTCB,24973.50023,Billion Btu
12031,1961,TX,CLTCB,18203.31918,Billion Btu
12032,1962,TX,CLTCB,20582.13241,Billion Btu
12033,1963,TX,CLTCB,19173.18137,Billion Btu
12034,1964,TX,CLTCB,26231.64422,Billion Btu
12035,1965,TX,CLTCB,29182.3709,Billion Btu
12036,1966,TX,CLTCB,27843.51254,Billion Btu
12037,1967,TX,CLTCB,23523.05369,Billion Btu
12038,1968,TX,CLTCB,24996.16792,Billion Btu
12039,1969,TX,CLTCB,25141.17685,Billion Btu
12040,1970,TX,CLTCB,30766.97153,Billion Btu
12041,1971,TX,CLTCB,24047.85711,Billion Btu
12042,1972,TX,CLTCB,50140.23599,Billion Btu
12043,1973,TX,CLTCB,125909.1766,Billion Btu
12044,1974,TX,CLTCB,133140.8435,Billion Btu
12045,1975,TX,CLTCB,196171.6773,Billion Btu
12046,1976,TX,CLTCB,226342.1596,Billion Btu
12047,1977,TX,CLTCB,288186.5403,Billion Btu
12048,1978,TX,CLTCB,418437.8002,Billion Btu
12049,1979,TX,CLTCB,587641.9574,Billion Btu
12050,1980,TX,CLTCB,734144.6213,Billion Btu
12051,1981,TX,CLTCB,858514.3909,Billion Btu
12052,1982,TX,CLTCB,931064.9405,Billion Btu
12053,1983,TX,CLTCB,1016757.994,Billion Btu
12054,1984,TX,CLTCB,1074868.477,Billion Btu
12055,1985,TX,CLTCB,1148998.132,Billion Btu
12056,1986,TX,CLTCB,1162745.476,Billion Btu
12057,1987,TX,CLTCB,1203924.703,Billion Btu
12058,1988,TX,CLTCB,1264112.975,Billion Btu
12059,1989,TX,CLTCB,1335905.732,Billion Btu
12060,1990,TX,CLTCB,1333670.519,Billion Btu
12061,1991,TX,CLTCB,1333449.454,Billion Btu
12062,1992,TX,CLTCB,1324063.139,Billion Btu
12063,1993,TX,CLTCB,1430675.537,Billion Btu
12064,1994,TX,CLTCB,1389409.443,Billion Btu
12065,1995,TX,CLTCB,1364800.239,Billion Btu
12066,1996,TX,CLTCB,1485577.296,Billion Btu
12067,1997,TX,CLTCB,1523201.246,Billion Btu
12068,1998,TX,CLTCB,1488589.371,Billion Btu
12069,1999,TX,CLTCB,1530425.966,Billion Btu
12070,2000,TX,CLTCB,1548184.286,Billion Btu
12071,2001,TX,CLTCB,1492976.626,Billion Btu
12072,2002,TX,CLTCB,1550325.051,Billion Btu
12073,2003,TX,CLTCB,1603971.257,Billion Btu
12074,2004,TX,CLTCB,1626029.094,Billion Btu
12075,2005,TX,CLTCB,1627863.257,Billion Btu
12076,2006,TX,CLTCB,1610301.254,Billion Btu
12077,2007,TX,CLTCB,1609154.668,Billion Btu
12078,2008,TX,CLTCB,1605925.493,Billion Btu
12079,2009,TX,CLTCB,1497854.311,Billion Btu
33092,1960,AZ,GETCB,0.0,Billion Btu
33093,1961,AZ,GETCB,0.0,Billion Btu
33094,1962,AZ,GETCB,0.0,Billion Btu
33095,1963,AZ,GETCB,0.0,Billion Btu
33096,1964,AZ,GETCB,0.0,Billion Btu
33097,1965,AZ,GETCB,0.0,Billion Btu
33098,1966,AZ,GETCB,0.0,Billion Btu
33099,1967,AZ,GETCB,0.0,Billion Btu
33100,1968,AZ,GETCB,0.0,Billion Btu
33101,1969,AZ,GETCB,0.0,Billion Btu
33102,1970,AZ,GETCB,0.0,Billion Btu
33103,1971,AZ,GETCB,0.0,Billion Btu
33104,1972,AZ,GETCB,0.0,Billion Btu
33105,1973,AZ,GETCB,0.0,Billion Btu
33106,1974,AZ,GETCB,0.0,Billion Btu
33107,1975,AZ,GETCB,0.0,Billion Btu
33108,1976,AZ,GETCB,0.0,Billion Btu
33109,1977,AZ,GETCB,0.0,Billion Btu
33110,1978,AZ,GETCB,0.0,Billion Btu
33111,1979,AZ,GETCB,0.0,Billion Btu
33112,1980,AZ,GETCB,0.0,Billion Btu
33113,1981,AZ,GETCB,0.0,Billion Btu
33114,1982,AZ,GETCB,0.0,Billion Btu
33115,1983,AZ,GETCB,0.0,Billion Btu
33116,1984,AZ,GETCB,0.0,Billion Btu
33117,1985,AZ,GETCB,0.0,Billion Btu
33118,1986,AZ,GETCB,0.0,Billion Btu
33119,1987,AZ,GETCB,0.0,Billion Btu
33120,1988,AZ,GETCB,0.0,Billion Btu
33121,1989,AZ,GETCB,235.1,Billion Btu
33122,1990,AZ,GETCB,235.70453,Billion Btu
33123,1991,AZ,GETCB,236.2166,Billion Btu
33124,1992,AZ,GETCB,236.72663,Billion Btu
33125,1993,AZ,GETCB,237.16575,Billion Btu
33126,1994,AZ,GETCB,236.423,Billion Btu
33127,1995,AZ,GETCB,236.85549,Billion Btu
33128,1996,AZ,GETCB,237.24082,Billion Btu
33129,1997,AZ,GETCB,237.74535,Billion Btu
33130,1998,AZ,GETCB,237.991,Billion Btu
33131,1999,AZ,GETCB,286.2,Billion Btu
33132,2000,AZ,GETCB,286.2,Billion Btu
33133,2001,AZ,GETCB,287.2,Billion Btu
33134,2002,AZ,GETCB,293.7,Billion Btu
33135,2003,AZ,GETCB,234.62651,Billion Btu
33136,2004,AZ,GETCB,254.89323,Billion Btu
33137,2005,AZ,GETCB,282.94431,Billion Btu
33138,2006,AZ,GETCB,286.55903,Billion Btu
33139,2007,AZ,GETCB,301.53572,Billion Btu
33140,2008,AZ,GETCB,365.87177,Billion Btu
33141,2009,AZ,GETCB,329.09862,Billion Btu
33142,1960,CA,GETCB,359.03968,Billion Btu
33143,1961,CA,GETCB,1001.32365,Billion Btu
33144,1962,CA,GETCB,1060.6778,Billion Btu
33145,1963,CA,GETCB,1760.48335,Billion Btu
33146,1964,CA,GETCB,2132.06144,Billion Btu
33147,1965,CA,GETCB,1977.85394,Billion Btu
33148,1966,CA,GETCB,1957.89502,Billion Btu
33149,1967,CA,GETCB,3299.73549,Billion Btu
33150,1968,CA,GETCB,4531.71875,Billion Btu
33151,1969,CA,GETCB,6421.87537,Billion Btu
33152,1970,CA,GETCB,5511.2704,Billion Btu
33153,1971,CA,GETCB,5739.34546,Billion Btu
33154,1972,CA,GETCB,15078.55931,Billion Btu
33155,1973,CA,GETCB,20421.79236,Billion Btu
33156,1974,CA,GETCB,25610.42511,Billion Btu
33157,1975,CA,GETCB,33779.66583,Billion Btu
33158,1976,CA,GETCB,37512.98981,Billion Btu
33159,1977,CA,GETCB,37381.66573,Billion Btu
33160,1978,CA,GETCB,30851.22443,Billion Btu
33161,1979,CA,GETCB,40262.4857,Billion Btu
33162,1980,CA,GETCB,52699.14465,Billion Btu
33163,1981,CA,GETCB,59437.46184,Billion Btu
33164,1982,CA,GETCB,50627.30966,Billion Btu
33165,1983,CA,GETCB,63910.06473,Billion Btu
33166,1984,CA,GETCB,80195.4651,Billion Btu
33167,1985,CA,GETCB,96079.59621,Billion Btu
33168,1986,CA,GETCB,105700.5124,Billion Btu
33169,1987,CA,GETCB,110429.1734,Billion Btu
33170,1988,CA,GETCB,104371.8054,Billion Btu
33171,1989,CA,GETCB,143657.1078,Billion Btu
33172,1990,CA,GETCB,152147.484,Billion Btu
33173,1991,CA,GETCB,155529.0542,Billion Btu
33174,1992,CA,GETCB,154136.3198,Billion Btu
33175,1993,CA,GETCB,155586.9767,Billion Btu
33176,1994,CA,GETCB,142640.107,Billion Btu
33177,1995,CA,GETCB,120056.8554,Billion Btu
33178,1996,CA,GETCB,129678.2478,Billion Btu
33179,1997,CA,GETCB,132211.3956,Billion Btu
33180,1998,CA,GETCB,133436.4578,Billion Btu
33181,1999,CA,GETCB,135324.6816,Billion Btu
33182,2000,CA,GETCB,127599.7127,Billion Btu
33183,2001,CA,GETCB,128077.3109,Billion Btu
33184,2002,CA,GETCB,135220.8854,Billion Btu
33185,2003,CA,GETCB,134816.3645,Billion Btu
33186,2004,CA,GETCB,133326.9108,Billion Btu
33187,2005,CA,GETCB,132375.377,Billion Btu
33188,2006,CA,GETCB,129318.5293,Billion Btu
33189,2007,CA,GETCB,130592.3607,Billion Btu
33190,2008,CA,GETCB,129142.7924,Billion Btu
33191,2009,CA,GETCB,127461.1205,Billion Btu
