百度 baidu
灰口铁 灰铁
磁铁 磁石 吸铁石
洋铁 马口铁 镀锡铁 白铁皮 白铁 铁皮 铅铁 镀锌铁
枕木 道木
栓皮 软木 软硬木
石头 石块 石 石碴
角闪石 闪石
燧石 火石
萤石 氟石
木变石 木化石
钟乳石 石钟乳
礁 岛礁 暗礁 礁石
河卵石 卵石 鹅卵石
矸石 矸子
石头子儿 石子 砾石 石子儿 砾
他山之石 它山之石 他山石 山石
耐火黏土 黏土 熟料 土 土里土气 埴 土产 粘土 泥土 土气
坷垃 坷拉 土疙瘩 土块 团粒 垡
黑土 黑钙土
高岭土 瓷土 陶土
沙山 沙袋 沙柱 沙峰 沙丘 沙包
水泥块 士敏土 洋灰 水门汀 水泥 加气水泥
混凝土 砼
三和土 三合土
熟石灰 消石灰
木焦油 柏油 地沥青 沥青 土沥青
石膏 熟石膏 生石膏
耐火砖 火砖
蝴蝶瓦 小青瓦
瓦楞 瓦垄
挡板 隔板
画夹 画板 图板
缸管 陶管
煤 煤炭 乌金
主焦煤 焦煤
蜂窝煤 煤砖
褐煤 褐炭
草煤 草炭
泥煤 泥炭
焦 煳 燎 焦炭
薪给 薪 薪水 薪俸 薪金 薪饷
火煤 火捻
松明 明子
石油 原油
酒精 乙醇
润滑油 滑润油
凡士林 矿脂
红土 铁丹
蓝靛 靛蓝 深蓝 湛蓝 靛青 靛
绡 生丝
化纤 化学纤维
锦纶 尼龙
涤纶 的确良
洋菜 洋粉 石花胶 琼脂
洋车 胶皮 人力车 东洋车 黄包车 硫化橡胶 橡皮
粘合剂 黏合剂
玻 玻璃
毛玻璃 磨砂玻璃
不碎玻璃 有机玻璃
釉料 釉子 釉
色釉 彩釉
念珠 佛珠
琳 美玉 宝玉
赛璐珞 化学 假象牙
洋瓷 搪瓷
酚醛塑料 塑料 酚醛 电木 塑
化肥 化学肥料
肥田粉 粒肥 颗粒肥料
基肥 底粪 底肥
厩肥 圈肥
油饼 油枯 枯饼
尿素 脲
氨水 氢氧化铵
复合肥料 复合肥
有机肥 有机肥料
大楼 阳台 平地楼台 凉台 晒台 楼宇 楼面 楼堂馆所 楼 楼层 平台 楼台 楼群 楼房
摩天楼 巨厦 大厦 高楼大厦 厦 摩天大厦 摩天大楼 高楼
广厦 深宅大院
亭台楼阁 雕梁画栋 红楼 亭台楼榭
庵 尼姑庵
窑 窑洞
商业楼 商客居 商住楼 商品房
家宅 私宅 民居 民宅
住宅房 居民楼 住宅楼 单元楼 家属楼
危旧房 危陋平房 拆迁房 危房 危楼
堡 城建 城堡 坞
草房子 茅草房
山庄 别墅
里间 里屋
外间 外屋
厢 舱
灶 厨 锅灶 厨房 灶间 炉灶 庖厨 伙房
书斋 书屋 书房
录音室 录音棚
地下室 窖 地窖 地窨子
接待厅 会客厅
展室 展厅
单间 单间儿
录像厅 演播厅 影厅 电影厅 放像厅
阍 宫门
闾 阎
下家 舍下 柴门 寒舍 蓬户瓮牖 舍间 寒门 柴扉 蓬门荜户
扉 门扇
扃 门闩 闩 钌铞儿
兽环 门环
窗 窗子 窗户 窗扇 牖 轩 窗牖
窗沿 窗台
窗棂 窗框
门窗 窗门
天花板 藻井
照壁 萧墙 影壁 照墙
夹层墙 夹壁墙 夹墙
房山 山墙
防火墙 风火墙 挡风墙
墙围子 围墙 围子
残墙断壁 断壁
长城 万里长城
屋檐 雨搭 房檐
檐子 檐
天沟 檐沟 雨水管 水溜 水落管
明沟 阳沟
暗沟 渗沟 阴沟
小院 法庭 院落 庭院 庭 天井 院子
绳梯 软梯
桥 圯 桥梁 大桥
悬索桥 索桥 吊桥
开合桥 活动桥
旱桥 天桥
过街天桥 过街桥
休闲地 白地 休耕地
旱田 旱地
水地 水田
承包地 承包田
田里 田间
废耕地 熟荒
阡 陌 垄 田垄 阡陌 埂子 田埂 塄 埝
温室 温棚 保暖棚 大棚 温室群 闹新房 暖房 花房 暖棚
苗床 阳畦 冷床 温床
猪圈 猪舍
马棚 马厩
蜂巢 蜂窝
鸟窝 鸟巢
塘坝 蓄水池 水库 塘堰
圩垸 垸 圩 圩子 子埝
沟沟坎坎 千山万壑 沟沟壑壑 沟壑
井 水井
机井 洋井 管井
矿井 斜井 竖井 立井
工作面 掌子
电站 发电厂 发电站
火力发电厂 热电厂 火电站
歃血为盟 营垒 阵线 歃血结盟 联盟 结盟 同盟 阵营 拉帮结伙
鹿角 鹿砦
战壕 壕沟 壕 堑壕
御苑 御花园
象牙之塔 象牙塔
亭 亭子
舞台 戏台
讲坛 讲台
月台 站台
祖茔 祖坟 祖陵
碑 碣 碑石 石碑 碑碣
墓表 神道碑 墓碑
太庙 宗庙
圣庙 孔庙
该寺 本寺
礼拜堂 教堂 主教堂 天主教堂
工作母机 母机
蒸汽机 汽轮机 蒸气机 汽机
摩托 热机 内燃机
动力机 发动机 引擎
狄塞耳机 柴油机
电机 马达 电动机
涡轮机 透平机 轮机 水轮机
气轮机 燃气轮机
龙门吊 吊车 起重机 塔吊
电梯 升降机
行车 天车
钻机 钻探机
风钻 风镐 凿岩机 电镐
液压机 水压机 油压机
有线电话 全球通 心裁 匠心 对讲机 机心 电话 话机 公用电话 电话机 意匠 机杼 机子
绞车 卷扬机
挖掘机 掘土机 推土机 掘进机 电铲
联合收割机 康拜因 收割机 联合机
拖拉机 铁牛
铲运机 铲土机
抽气机 鼓风机 通风机 暖风机 吹风机 送风机
压路机 轧机
微处理器 微机 微处理机 微电脑 处理器 电脑 计算机 微型机
输送机 输机
老虎机 赌博机
电子游戏机 游艺机 游戏机
彩电 彩色电视
柜机 柜员机 提款机
内存 内存储器
空调 空调机
烤箱 烘箱
放映机 放像机
唧筒 泵
抽水机 水泵
气泵 风泵
打气筒 气筒
机床 床子
车床 旋床
冲床 冲压机 压力机
刀具 刃具
激光器 莱塞
化油器 汽化器
绞盘 辘轳
滑轮 滑车
牙轮 齿轮
空气轴承 轴承 球轴承 滚柱轴承 滑动轴承 滚针轴承 滚动轴承 滚珠轴承
滚珠 钢珠
主光轴 主轴
簧片 簧 弹簧 绷簧
发条 弦
合页 合叶
活门 截门 阀 阀门 凡尔
活塞 活塞环 鞲鞴
轴衬 轴瓦
开口销 销子 销钉
离合器 靠背轮
履带 链轨
轴心 连轴 轮轴 凸轮轴 滚轴
气锤 空气锤
汽锤 蒸汽锤
杼 筘
螺丝 螺钉 螺丝钉
螺丝母 螺母
地脚螺丝 地脚螺栓
纺锭 纱锭
钥匙 匙子 调羹 钥 羹匙 匙
碰簧锁 碰锁 撞锁 弹簧锁
拉链 拉锁 拉锁儿
锒铛 丁当 丁零当郎 铁锁链
零备件 附配件
电子器件 电子元件 元器件
转子 旋子
步话机 步谈机 步行机
收音机 无线电
电视 电视机
幻灯 幻灯机
听诊器 听筒 受话器 耳机
话筒 喇叭筒 传声器 微音器 麦克风 送话器
电唱头 拾音器
替续器 继电器
容电器 电容器
两极管 二极管
原线圈 初级线圈
次级线圈 副线圈
寻呼机 呼机 传呼机
手机 无绳电话机 无绳机 大哥大 无绳话机 无线电话 部手机
电视电话 可视电话
电线 电缆
皮线 橡皮线
电料 电器
干电池 电池 电池组
电瓶 蓄电池
电键 电钮 开关 电门
插销 插头
太阳电池 光电池
镰刀 镰
犁头 耕 犁
犁铧 铧
耩子 耧
筢子 筢
水车 翻车 龙骨车
风车 扇车
石磙 碌碡 磙子
鱼漂 浮子
石碓 碓
丝锥 螺丝攻
钎子 钎
砂布 砂纸
砺石 油石 砥 磨刀石 硎
砣子 砂轮
刀片 刀 刀子
剃刀 剃头刀
斧子 斧头 斧
镐 镐头
洋镐 鹤嘴镐 丁字镐 铁镐
镩子 冰镩
锹 铁锹 锸
铲子 铲 铲刀
板锉 扁锉
镊 镊子
台钳 老虎钳 虎钳
火剪 火钳
锥子 锥
螺丝刀 赶锥 改锥 螺丝起子
火棒 通条
木棒 木棍
铁棒 铁棍
擀面杖 擀杖
杠 杠子 旗杆 杠棒
椹 案板 砧板 俎
砧子 砧
胎具 模具
坯 土坯
坯子 砖坯
模版 沙盘 模板
字模 铜模 字样
夹具 卡具
梓 雕版
纸型 纸版
页心 版心
套版 套色版
活字版 活版
电流计 电流表 安培计
电度表 电表
伏特计 电压计
寒暑表 温度表 温度计
体温表 体温计
南针 罗盘 司南 指南针 指针 表针
浑象 浑仪 浑天仪 天球仪
测试仪 探测仪
流量计 流量表
丁字尺 丁字规
表尺 标尺
三角尺 三角板
计算尺 算尺
游标卡尺 卡尺
弩 蜷曲 瑟缩 挛缩 蜷缩 弓 蜷 蜷伏 步弓 龟缩 弩弓 拳曲
衡器 秤 枰 铨
火炉子 炉子 火炉 炉
高炉 鼓风炉
马丁炉 平炉
煤油炉 火油炉
针 引线 针剂 金针 缝衣针 注射器 钢针
药棉 脱脂棉
胶布 橡皮膏
卫生带 月经带
机车 火车头
火车 列车
小车 小轿车 小汽车 手车 卧车 轿车 手推车
赛车 跑车
篷车 棚车
敞篷车 敞车
闷罐车 闷子车
斗车 罐 罐头 罐子
铲运车 叉车 铲车
排子车 大板车
平板车 三轮儿
辂 大车
挂斗 拖车 挂车
班车 交通车
殡车 灵车 柩车
舸 舶
邮轮 邮船
游船 游艇
快艇 汽艇 电船 摩托船
渡轮 轮渡
救生艇 救难船
拖船 拖轮
龙船 龙舟
皮划艇 皮艇
筏子 鼓槌 桴 筏
飞艇 飞船
彩轿 花轿
舵 艄
桨 棹 桡
桅 桅樯 樯 桅杆
舵轮 方向盘
外带 外胎
里带 内胎
鞍 鞍子
辔 辔头
马鞍 马鞍子
马蹄铁 马掌
原子武器 核子武器 核武器 核军备
长枪 枪
步枪 大枪
机枪 机关枪
无坐力炮 无座力炮
喀秋莎 火箭筒 火箭炮
瞎炮 哑炮
枪刺 白刃 刺刀
燃烧弹 烧夷弹
榴霰弹 子母弹
热核武器 氢弹
群子弹 霰弹
流弹 飞弹
弹丸 弹头
药筒 弹壳
手雷 手榴弹
药料 药 药味 药石 药物 药品
梯恩梯 黄色炸药
响箭 鸣镝
箭镞 镝 镞 箭头
印尼盾 印度尼西亚盾
短剑 匕首
上方剑 尚方宝剑 尚方剑 上方宝剑
战斗舰 主力舰 战列舰
护卫舰 护航舰
潜艇 潜水艇
护卫艇 炮艇
歼击机 战斗机 驱逐机
主机 长机
运载工具 火箭 运载火箭
骨牌 牙牌
扑克牌 扑克
色子 骰子
旱烟袋 烟袋 旱烟管 烟袋锅
水烟斗 水烟筒 水烟袋
烟嘴儿 烟斗
大刑 严刑 酷刑 拷打 上刑 重刑 刑具 动刑 毒刑 用刑
脚镣 桎 镣
梏 手铐 铐
日光灯 白炽灯 荧光灯 白炽电灯
台灯 桌灯
保险灯 汽灯
本生灯 煤气灯
马灯 桅灯
风雨灯 风灯
灯盏 油灯 青灯
纱灯 灯笼
手电 电棒 电筒 手电筒
灯罩 灯伞
灯台 檠
凹镜 凹面镜
凸面镜 凸镜
凹透镜 发散透镜
会聚透镜 凸透镜 放大镜 火镜
三棱镜 棱镜
镜片 透镜
茶镜 太阳眼镜 太阳镜 墨镜
花镜 老花镜
望远镜 千里眼
接物镜 物镜
接目镜 目镜
扫帚 笤帚 彗 扫把 帚
掸子 鸡毛掸子 掸帚
墩布 拖把
网巾 头巾 帻 头帕
麦粒肿 针眼 针鼻儿
针箍 顶针
丝线 头绳 毛线 纶 绒头绳 绒线
线轴儿 线桄子
一品锅 合家欢 全家福 火锅
平底锅 铛
高压锅 压力锅
壶 铫
便壶 夜壶
勺子 勺
水瓢 舀子 水舀子 瓢
筷 筷子
盆子 盆
钵子 钵 钵头 钵盂
缸盆 瓦盆
澡盆 浴盆
痰盂 痰桶
抽水马桶 恭桶 便桶 马桶 马子 粪桶
瓶子 瓶
保温瓶 热水瓶 暖瓶 冰瓶 暖水瓶
花插 花瓶
输液瓶 吊瓶
碟 碟子
埕 酒坛
储存罐 储罐
缸子 缸
箱子 箱 箧 箱笼
笈 书箱
信箱 邮筒 邮箱 信筒
竹箱 篓 篓子 簏
提箱 手提箱
垃圾箱 果皮箱 垃圾桶 果皮筒
急救箱 保健箱
信报箱 信报箱群 举报箱
烟盒 香烟盒
八音匣子 八音盒
黑匣子 暗盒
篮 篮子 提篮 篮筐
驮篓 背篓
箩 筐子 箩筐 筐
淘米箩 淘箩 筲箕
笆斗 栲栳
簸箕 畚箕
粪箕子 粪筐
手提包 手提袋 提包
麻包 麻袋
腰包 皮夹子 钱包 皮夹
络子 网兜 网袋
纸袋 纸口袋
褡裢 背搭子
韬 鞘
被袋 被套
虎伏 滚轮
浪桥 浪木
拉簧 拉力器 扩胸器
康乐球 克郎球
棋子 棋 棋类
棋盘 围盘
乐器 法器
响器 打击乐器
弦乐器 丝弦
七弦琴 古琴
三弦 弦子
二胡 南胡
六弦琴 吉他
阮 阮咸
箫 洞箫
横七竖八 参差 笙 参差不齐 排箫
笛 笛子 横笛
小锣 铴锣
里弦 老弦
子弦 外弦
篷 帐篷 幕 帷幕 蒙古包 毡幕 帐幕 幕布 帷幄 毡包
相机 照相机
正片 拷贝
底版 底板 底片
分色片 正色片
印色 印泥
打印台 印台
书面 封皮 书皮 封条 封面 信封
图钉 摁钉儿
誊写钢版 钢板
原子笔 圆珠笔
笔帽 笔套
宣 宣纸
玉版宣 玉版纸
原稿纸 稿纸
吸水纸 吸墨纸
废纸 手纸 卫生巾 草纸 卫生纸
记录簿 笔记本 笔记簿 记录本
户口册 户口本 户口簿
菜谱 菜系 食谱 菜单
聘书 聘约
信誉卡 承诺卡 保证卡 信用证
无名帖 黑帖
票根 存根 存执 存折
发单 发票
保票 保单 包票
货票 提单 提货单
门票 入场券
月台票 站台票
来回票 往返票
招待券 免票 红票 赠券
路签 路条 通行证
毕业证书 文凭
驾照 行车执照
合格证书 合格证
站牌 路牌 指路牌
幛 幛子
横匾 匾 匾额 牌匾
横披 横幅
令旗 令箭
徽章 证章
帽徽 帽章
袖标 臂章 袖章
照亮 炬 火炬 烛 烛照 照明 火把 生辉
蜡台 烛台
自来火 火柴 洋火
子母扣儿 摁扣儿
纽襻 襻儿
死扣 死结
钢缆 钢丝绳 钢索
链 链条 链子
彩带 彩练
绂 绶带
腰带 褡包
绑腿 腿带
吊带 袜带 吊袜带
八仙桌 方桌 四仙桌
圆桌 圆台 圆锥 圆锥台
办公桌 书案 桌案 写字台 书桌 一头儿沉
梳妆台 镜台
条桌 条几 条案
扶手椅 安乐椅 圈椅
凳子 凳
长凳 条凳
行军床 帆布床
板床 木床
病榻 病床
碗柜 碗橱
衣柜 衣橱
床边柜 床边橱
保险箱 保险柜
拦柜 栏柜
屏气 屏息 屏风 屏条 屏
卧具 寝具
棉絮 棉花胎
垫被 褥套 茵 褥子
草荐 草垫子 稿荐
毯 毯子
枕头 枕
帐子 蚊帐 帷 帱
席篾 篾席 竹席 簟
帘子 帘
幔帐 帷幔 帷子 幔
窗帘 窗帷 窗幔 帘幕
乳罩 胸罩 奶罩
面纱 面罩
钟表 钟 时钟
台钟 座钟
跑表 马表 停表
怀表 挂表
脂粉 化妆品
发乳 生发油 发蜡 头油
唇膏 口红
花露水 香水
流苏 旒 穗 穗子
发卡 发夹
项链 项圈 项练
镯 玉镯 镯子 手镯 钏
发簪 簪子 珈 玉簪 簪缨
晴雨伞 伞 旱伞 遮阳伞 雨伞 阳伞
纨扇 团扇
暖壶 汤壶
烘篮 手炉 烘笼
俑 偶人 托偶 兵马俑 木偶 玩偶 土偶
响铃 铎 铃 铃儿 铃铛 銮
乒乓 乒乒乓乓 乒 梆子腔 咣 乓 梆 砰 梆子 柝
惊堂木 醒木
双响 二踢脚
寿木 寿材
骨灰箱 骨灰盒
灵牌 牌位 灵位 神位
银锭 锡箔
毛料 面料 衣料 料子 布料
毛布 土布 粗布
斜纹 斜纹布
卡其 咔叽
花布 印花布
灯心绒 灯芯绒 条绒
小纺 纺绸
缣 纨
柞丝绸 茧绸
香云纱 莨绸 拷纱 拷绸
线春 春绸
毛葛 葛
直贡呢 礼服呢
骆驼绒 驼绒
针织物 针织
草帽 毡笠 箬帽 斗笠 斗篷
披肩 帔
大褂 长袍 袷袢 袍子 长衫 袍
外罩 罩衣 罩衫 罩袍
小衣裳 童装
成衣 中服 中装
洋装 西服 西装 洋服
大礼服 礼服 燕尾服
蟒袍 朝服
夏装 夏衣
寒衣 棉衣 冬衣 冬装
裘 皮衣
兜兜 兜肚
身披 披红戴花 披挂
鹑衣 百衲衣
戏衣 戏装
重孝 孝道 素服 孝顺 孝心 孝服 孝 缟素 丧服
坎肩 马甲 背心
单褂 马褂
衬衫 衬衣
汗褂 汗衫
卫生衣 绒衣
裤衩 衬裤
绒裤 卫生裤
裙装 裙子 裳 裙
套裙 连衣裙 布拉吉
袖筒 袖子 袖 袖管 袂 衣袖
裾 大襟
前身 前襟
瓜皮帽 小帽
王冠 皇冠
趿拉儿 拖鞋
木屐 趿拉板儿
革履 皮鞋
绣花鞋 绣鞋
钉鞋 套鞋 运动鞋 雨鞋 球鞋 胶鞋 跑鞋
靴子 靴
袜 袜子
手套 拳套
糇粮 糗 干粮
粗粮 杂粮 糙粮
机米 籼米
碎米 粞
江米 糯米
粝 糙米
秫米 高粱米
米粒 饭粒 糁
米粉 米面
玉米面 棒子面
麸皮 麸子
粮草 粮秣
消夜 飧
主食品 主食
副食 副食品
零食 零嘴
肉品 肉食品 肉制品
米饭 白米饭 饭 白玉 白饭
盖饭 盖浇饭
份饭 份儿饭 客饭
肉汤 羹
锅巴 锅贴
面汤 汤面
抻面 拉面
刀削面 削面
包子 饽饽 烙饼 饼子 馍 糕点 馒头 馍馍
窝窝头 窝头
油茶面儿 油茶
拼盘 小吃 冷盘
浇头 菜码儿
海鲜 鱼鲜
肉排 排骨
肉松 肉末 肉丝
肉丸 狮子头
粉蒸肉 米粉肉
肥肉 白肉
杂碎 上行 上溯 下行 上水 下水
虾皮 海米 虾米
干贝 江珧柱
鲞 鲞鱼
皮蛋 松花蛋 松花 变蛋
肉片 肉类 脔
生肉 鲜肉
千张 豆腐皮 豆腐衣
香干 豆腐干
作料 佐料 调料 调味品
味精 味素
小粉 淀粉
胡椒 胡椒面
生姜 姜
花椒 椒
糖原 动物淀粉
清油 素油 茶油 菜油 菜子油
荤油 猪油 大油
花生油 生油
香油 芝麻油 麻油
脂油 板油
盐 氯化钠 盐巴 积雪 鹾 食盐 盐类 盐粒
岩盐 矿盐
酱 醢
芝麻酱 麻酱
果子酱 果酱
醯 陈醋 酢 苦酒 白醋 醋
甜点 甜品 糖食 甜食
烧饼 火烧 大饼
油条 油炸鬼
饺子 饺
粽子 粽
抄手 馄饨 揣手儿 袖手
江米酒 酒酿 醪糟
饴 麦芽糖 饴糖 糖饴
冰糖葫芦 糖葫芦
果料 果仁儿 果料儿
馅料儿 心子 馅
鲜酵母 酵子
面肥 发面
可可 可可茶
雀巢咖啡 咖啡茶 咖啡
冰激凌 冰淇淋
茶砖 砖茶
香片 花茶
茶卤 茶晶
酿造 酒浆 酿 酿制 杯中物 酒
醑剂 醑
老酒 花雕 绍兴酒 黄酒 绍酒 陈酒
白干儿 烧酒 白酒
甜酒 醴
水酒 酤 酒水 清酒
乳酪 酪
试剂 试药
浸剂 冲剂
蒙药 麻醉剂 麻药
药栓 栓剂 坐药
酊剂 酊
酏 酏剂
青霉素 地霉素
氨苯磺胺 磺胺
牛痘苗 痘苗
结核菌素 结素
安眠药 催眠药
红药水 汞溴红 红汞
龙胆紫 紫药水 甲紫
麝香 麝
奎宁 金鸡纳霜
驴皮胶 阿胶
蜂皇精 王浆 槐花蜜 蜂王浆 蜂王精 花蜜 花露 蜂乳
卫生丸 樟脑丸
敌杀死 敌敌畏 六六六 滴滴涕 敌百虫
避孕药 避孕片
茶精 咖啡因 茶素
显影液 造影剂
烟酸 维生素 维他命
养分 营养 肥分 滋养
防腐剂 保鲜剂
清洁剂 去污剂
白面儿 海洛因 白粉
鼠药 耗子药
红矾 白砒 砒霜 信石 红砒
雪茄 卷烟 吕宋烟
斗烟丝 烟斗丝
烟屁股 烟头 烟蒂
太阳年 公历 阳历 太阳历
伊斯兰教历 回历
近现代 近代
新篇章 新纪元
历代 历朝历代
朔望 月初
月中 正月十五
月终 月末 月杪 晦 月底
自幼 从小 生来 有生以来 自小
同一天 当天 当日 即日
身后 百年之后
间日 隔日
半辈子 半生 半世 大半生
前半生 前半辈子
后半辈子 后半生
不惑之年 不惑
半百 知天命之年
幼龄 低龄
十年 旬 秩
四季 一年四季 四时
季春 暮春 三月
夏初 初夏
末伏 三伏 伏天
九月 暮秋
二伏 中伏
数九寒冬 九 玖 数九 数九寒天
仲春 二月
四月 四月份
仲秋 八月
仲冬 十一月
小建 小尽 小月
星期一 周一 礼拜一
星期二 周二 礼拜二
礼拜三 周三 星期三
礼拜四 星期四 周四
星期五 周五 礼拜五
周六 星期六 礼拜六
昨 昨日 昨儿个 昨天 昨儿
头天 前日 前天 前一天
单日 双日
半日 全天
长至 夏至 冬至
三八妇女节 妇女节 三八节
劳动节 五一节
建军节 八一建军节 八一
元宵节 灯节 上元节
八月节 中秋节 中秋 团圆节
重阳节 重阳
华诞 生辰 诞辰 八字 寿诞 寿辰 生日 大庆
好日子 黄道吉日 婚期 吉日 佳期
朝朝暮暮 花朝月夕
午前 前半晌 上半晌 上午 前半天
正午 午 晌午 日中 午间 中午
连夜 当夜 当晚
上半夜 前半夜
后半夜 下半夜
课时 学时
同方向 一顺儿
高位 青云 要职 上位
末座 下位
床位 铺位
上述 如上 之上 以上
深处 奥
窗外 室外 露天 户外
耳畔 耳际
对面 对门
旧地 故地
北国 北疆
交界处 交汇处 汇合处
农技推广站 农技站
灌溉站 排灌站
宣传站 推广站
航站 机场 飞机场 航空站
空白处 空白点
居住地 居所 宅基地 住地
遍地 匝地
山窝窝 山国 山区 山窝
腹地 内地
防区 阵地 战区
采地 属地 封地 领地
沦陷区 失地 敌占区
梦 梦乡 佳境 顺境 梦寐 梦见 梦境 睡梦 迷梦 梦幻 睡乡
廉洁关 廉政关
验收关 检验关
设卡 立卡
街口 路口 街头
十字路口 十字街头
三岔路口 岔口
进口 通道口 输入 入口
垂直线 垂线
中心角 圆心角
立体角 多面角
磁偏角 磁倾角 倾斜角 倾角
截面 切面 剖面 断面
横切面 横剖面 横断面
纵断面 纵切面 纵剖面
正方体 立方体 立方
棱锥 角锥体
角柱体 棱柱体
大城市 大都会 大都市
本市 我市
古城 古都 故城 危城 坚城 旧城
三家村 荒村
陆路 旱路
山道 山路 山径
弯路 曲径 之字路 弯道
迷津 歧途 歧路
长距离 长途 远路 中长途 远距离 远道 远程
近路 终南捷径 抄近儿 捷径 抄小路 抄近路 抄道 近道
畏途 隘路
半途 中途 中道 半路
高架路 高架道路
盘山道 盘山路
主干道 主干路
屠场 屠宰场
会所 会馆
宿处 寓舍 容身之地
英雄无用武之地 无用武之地
北里 烟花巷 秦楼楚馆 花街柳巷 窑子 妓院
匪巢 贼窝 强盗窝 匪穴 匪窟
赌窟 赌窝 赌场
须知 事项
政事 政务
洋务 外事 外务
要事 大事 盛事
赏心乐事 快事 乐事
飞灾 横祸 飞来横祸 横事 无妄之灾
红白喜事 红白事
憾事 恨事 遗恨 憾
亏心事 缺德事
傻事 蠢事
非公务 私事
新鲜事 新人新事
血案 命案 凶杀案 惨案 谋杀案 杀人案
移花接木 情随事迁 事过境迁 沧海桑田
十年动乱 十年浩劫
群众运动 人民战争
工潮 工人运动 工运
错案 冤狱 冤假错案 假案 冤案
诉讼案 投诉案
本案 该案 此案
大案要案 大要案
新春伊始 新年伊始
罗曼史 艳史 浪漫史
病案 病史 病历
古代史 古史
科技史 科学史
建设史 建筑史
政策史 谋略史
战史 战争史 军史
医学史 医史
冷眼 冷板凳 冷遇
颓势 低谷 下坡路
时气 时运
同呼吸共命运 共命运
自然灾害 灾荒 天灾 荒灾
匪祸 匪患
外患 敌害 外祸
遗祸 后患
涝灾 内涝 涝害
火警 火灾
海事 海难
虫灾 虫害
风灾 风害
旦夕祸福 吉凶 祸福 休戚 安危祸福
沉冤 覆盆之冤 不白之冤
大节 泽及后人 洪恩 大恩大德 大德
小恩小惠 甜头
活命之恩 再生之恩 救命之恩
世仇 宿仇 旧恶
天下兴亡 兴亡 兴衰 千古兴亡 盛衰荣辱 荣辱 盛衰
卓有建树 建树
一等功 头功 头等功
奇勋 殊勋
奇功 功在当代 丰功 功在千秋 居功至伟 大功
功罪 功过
误解 误会
断绝 救亡 毁家纾难 救国 救国救民 赴难 救亡图存 存亡
人寿 寿数 寿命 寿
戎马生涯 戎马一生
身心 心身
西餐 大菜
包饭 包伙
桃色新闻 绯闻
现局 现状 现势
大局 全局
走势 增势 涨势 长势 升势 生势
病况 病情 病状
实处 实景
险境 危境
意境 意象
流星雨 陨石雨
季风气候 小气候
秋景 秋色
副作用 负效应
大名 雅号 英名 美称 徽号 芳名 美名
人望 众望 得人心
